ApprovalFY,BorrState,loan_count,total_approval,average_loan_amount,total_sba_guaranteed,average_jobs_supported,charge_off_count,paid_in_full_count,guarantee_pct,charge_off_rate_pct,paid_in_full_rate_pct
2020,ND,139,43123400.0,310240.28776978416,29027175.0,8.129496402877697,1,102,0.6731188867297105,0.7194244604316546,73.38129496402878
2020,NE,273,115374700.0,422617.9487179487,83517305.0,10.64102564102564,3,134,0.7238788486557278,1.098901098901099,49.08424908424909
2020,NH,377,84729000.0,224745.35809018568,57059295.0,9.517241379310345,9,199,0.6734328860248557,2.387267904509284,52.785145888594165
2020,NJ,1191,651724200.0,547207.556675063,482593865.0,9.34928631402183,53,514,0.7404878704826366,4.450041981528128,43.15701091519731
2020,NM,212,118342300.0,558218.3962264151,89682025.0,12.39622641509434,4,91,0.757818844149556,1.8867924528301887,42.924528301886795
2020,NV,344,178594500.0,519170.0581395349,130744144.0,10.01453488372093,25,182,0.7320726226171579,7.267441860465116,52.906976744186046
2020,NY,2139,875244900.0,409184.15147265076,627780640.0,8.618045815801777,144,931,0.7172628369499783,6.732117812061711,43.525011687704534
2020,OH,2547,790503600.0,310366.5488810365,564632255.0,9.54691794267766,86,1515,0.7142690495021149,3.376521397722811,59.48174322732627
2020,OK,504,252788000.0,501563.49206349207,181429120.0,12.093253968253968,19,247,0.717712549646344,3.7698412698412698,49.007936507936506
2020,OR,781,363998600.0,466067.3495518566,266233655.0,9.318822023047375,22,390,0.7314139532404795,2.816901408450704,49.9359795134443
2020,PA,1271,584296000.0,459713.6113296617,423228600.0,10.17309205350118,29,641,0.7243393759327464,2.2816679779701023,50.43273013375295
2020,PR,314,51509100.0,164041.71974522292,32870557.21,12.45859872611465,3,151,0.6381504862247642,0.9554140127388535,48.089171974522294
2020,RI,156,46213000.0,296237.1794871795,32488165.0,8.474358974358974,4,66,0.7030092181853591,2.5641025641025643,42.30769230769231
2020,SC,414,289277000.0,698736.7149758454,213969440.0,10.68599033816425,17,197,0.7396697283226803,4.106280193236715,47.58454106280193
2020,SD,163,52241200.0,320498.15950920247,37561380.0,8.43558282208589,6,91,0.7189991807232605,3.6809815950920246,55.828220858895705
2020,TN,419,282808200.0,674959.9045346063,209056410.0,14.343675417661098,16,210,0.739216224989233,3.818615751789976,50.11933174224344
2020,TX,3029,2377687200.0,784974.3149554308,1774540686.4,12.099042588312974,129,1340,0.7463305881446475,4.258831297457907,44.23902277979531
2020,UT,777,419528400.0,539933.5907335908,310305165.0,13.718146718146718,19,437,0.7396523453477762,2.4453024453024454,56.241956241956245
2020,VA,640,363941600.0,568658.75,267277600.0,12.7078125,29,276,0.7343969472025182,4.53125,43.125
2020,VI,5,2234700.0,446940.0,1600495.0,13.6,0,2,0.7162012798138453,0.0,40.0
2020,VT,170,25039500.0,147291.17647058822,17170230.0,6.5058823529411764,2,125,0.6857257533097706,1.1764705882352942,73.52941176470588
2020,WA,1227,741179200.0,604058.0277098614,544892395.0,9.69682151589242,44,617,0.7351695716771329,3.5859820700896496,50.28524857375713
2020,WI,970,458254900.0,472427.73195876286,330836498.88,11.223711340206185,21,530,0.7219486335661659,2.1649484536082473,54.63917525773196
2020,WV,177,48775900.0,275570.05649717513,30604300.0,5.790960451977401,2,113,0.6274471614055301,1.1299435028248588,63.84180790960452
2020,WY,69,42103300.0,610192.7536231884,30790770.0,9.115942028985508,4,32,0.7313148850565158,5.797101449275362,46.3768115942029
2021,AK,119,98878000.0,830907.56302521,85154060.8,14.184873949579831,0,46,0.8612033091284208,0.0,38.65546218487395
2021,AL,364,301338100.0,827851.9230769231,255937447.72,13.873626373626374,9,111,0.8493365018230353,2.4725274725274726,30.494505494505493
2021,AR,307,201120100.0,655114.332247557,171295565.6,12.651465798045603,4,137,0.8517078382518704,1.3029315960912051,44.62540716612378
2021,AZ,1048,893296800.0,852382.4427480916,756171759.9,14.930343511450381,21,412,0.8464955431386298,2.00381679389313,39.31297709923664
2021,CA,5824,5751079000.0,987479.223901099,4904791743.93,12.08430631868132,111,2174,0.8528472211788432,1.9059065934065933,37.3282967032967
2021,CO,1446,1144597300.0,791561.0650069156,975487764.58,12.540110650069156,43,533,0.8522541199249728,2.9737206085753805,36.86030428769018
2021,CT,631,294862000.0,467293.18541996833,238589923.0,10.0459587955626,27,234,0.8091579213326913,4.27892234548336,37.08399366085578
2021,DC,92,49021400.0,532841.304347826,41254450.0,11.445652173913043,14,29,0.8415600125659406,15.217391304347826,31.52173913043478
2021,DE,140,58533200.0,418094.28571428574,48297910.0,10.785714285714286,9,48,0.8251370162574402,6.428571428571429,34.285714285714285
2021,FL,3201,2583592600.0,807120.4623555139,2194437898.95,13.216807247735083,153,1146,0.8493745875220419,4.779756326148079,35.80131208997189
2021,GA,1752,1816520600.0,1036826.8264840182,1541997571.61,12.498858447488585,28,622,0.848874255326364,1.5981735159817352,35.50228310502283
2021,GU,4,871000.0,217750.0,435500.0,16.0,0,2,0.5,0.0,50.0
2021,HI,109,27979700.0,256694.49541284403,22521115.0,9.045871559633028,4,50,0.8049090948080215,3.669724770642202,45.87155963302752
2021,IA,380,196863100.0,518060.7894736842,164654410.0,12.68421052631579,5,161,0.8363904154714622,1.3157894736842106,42.36842105263158
